@RELATION 6000 
  
@ATTRIBUTE appCatergry  {social_contact,navigation,message,game}  
@ATTRIBUTE time   numeric  
@ATTRIBUTE latitude  numeric  
@ATTRIBUTE longitude   numeric 
@ATTRIBUTE permission   {location,contact,phone,microphone} 
@ATTRIBUTE class {true,false}  

@DATA
social_contact,12,39.16,108.46,location,false
game,13,37.39,105.44,microphone,true
social_contact,20,39.25,106.11,microphone,false
social_contact,13,36.91,108.1,contact,false
navigation,13,38.12,106.3,contact,true
message,21,38.98,109.31,microphone,false
game,19,37.32,105.26,phone,true
navigation,16,39.28,106.06,phone,true
message,23,39.78,105.17,contact,false
navigation,16,39.93,108.02,location,true
social_contact,20,39.17,107.8,microphone,false
navigation,21,36.34,105.3,phone,true
message,20,36.47,106.85,phone,false
navigation,19,39.01,108.24,contact,true
message,19,39.0,109.93,contact,false
message,24,37.34,105.88,microphone,false
message,12,39.38,105.63,microphone,false
game,15,38.37,105.0,phone,true
game,17,36.62,107.68,phone,true
message,19,36.09,109.87,phone,false
message,18,36.35,107.89,microphone,false
navigation,17,37.69,108.47,contact,true
game,12,39.02,106.98,contact,true
message,21,38.01,108.81,phone,false
navigation,17,39.57,109.42,microphone,true
social_contact,17,38.31,105.68,phone,false
message,24,36.46,105.7,contact,false
social_contact,24,39.45,108.54,contact,false
social_contact,17,38.9,108.96,microphone,false
message,19,38.52,105.58,location,false
social_contact,20,38.87,109.92,phone,false
navigation,20,36.17,106.64,location,true
game,20,39.28,106.27,microphone,true
message,17,39.42,105.28,contact,false
message,18,38.91,106.09,location,false
game,16,38.32,108.54,location,true
social_contact,17,37.85,109.18,phone,false
message,18,39.43,105.62,microphone,false
social_contact,16,39.33,109.75,phone,false
social_contact,21,37.26,107.07,microphone,false
social_contact,12,36.75,108.16,phone,false
game,15,36.35,105.34,phone,true
game,23,36.7,106.47,contact,true
game,18,37.45,108.0,microphone,true
navigation,19,38.88,107.89,phone,true
game,20,38.26,106.17,microphone,true
social_contact,17,36.91,107.07,phone,false
navigation,16,37.06,108.42,location,true
message,18,39.59,105.28,phone,false
game,15,37.33,109.96,microphone,true
message,12,38.54,106.61,microphone,false
message,19,38.34,106.01,phone,false
social_contact,20,38.89,109.06,contact,false
game,21,37.88,105.15,location,true
message,20,38.48,108.19,phone,false
navigation,16,37.91,105.07,location,true
message,22,38.39,108.44,phone,false
navigation,16,37.68,107.82,contact,true
message,23,36.78,107.23,contact,false
message,20,36.0,108.18,location,false
game,21,39.87,108.81,microphone,true
social_contact,17,37.96,109.48,phone,false
game,15,36.99,108.32,contact,true
game,22,38.33,105.94,contact,true
social_contact,15,37.25,108.25,contact,false
navigation,17,36.33,106.7,microphone,true
message,16,38.75,109.66,phone,false
message,12,39.52,108.1,contact,false
game,20,36.31,109.76,phone,true
social_contact,21,36.99,109.7,phone,false
game,14,37.73,107.66,phone,true
game,24,39.4,109.98,phone,true
game,22,39.58,105.33,phone,true
message,17,39.23,106.69,phone,false
message,16,38.26,107.29,microphone,false
message,18,38.92,106.77,phone,false
navigation,12,39.97,109.77,microphone,true
social_contact,15,36.99,105.51,contact,false
social_contact,12,37.85,107.59,phone,false
navigation,12,39.72,109.4,location,true
navigation,17,38.01,107.58,phone,true
message,14,38.97,106.71,microphone,false
message,13,38.01,108.23,microphone,false
message,16,36.64,105.0,location,false
navigation,19,39.28,106.4,phone,true
game,22,38.17,105.88,phone,true
game,20,36.86,109.48,microphone,true
game,17,38.77,107.4,microphone,true
message,16,37.2,108.19,location,false
social_contact,13,36.78,109.99,phone,false
game,19,39.79,106.94,location,true
social_contact,16,38.47,108.25,microphone,false
game,19,38.17,106.56,phone,true
message,20,38.68,107.14,contact,false
message,20,39.42,105.96,contact,false
message,22,39.91,105.86,contact,false
game,15,37.91,107.09,microphone,true
game,20,37.13,109.64,microphone,true
social_contact,13,38.47,107.62,microphone,false
navigation,17,38.67,105.57,contact,true
message,13,38.5,105.42,location,false
navigation,20,39.3,108.3,microphone,true
game,21,36.21,105.56,location,true
social_contact,19,39.9,106.23,microphone,false
message,19,38.57,108.6,location,false
social_contact,21,37.05,105.45,phone,false
navigation,12,37.31,109.78,contact,true
navigation,12,39.97,107.89,location,true
message,16,39.88,107.47,microphone,false
social_contact,19,39.3,105.79,location,false
social_contact,22,38.02,105.78,location,false
game,23,37.02,107.55,contact,true
game,15,39.36,107.99,phone,true
message,22,37.75,105.18,contact,false
message,14,38.16,106.46,location,false
navigation,14,38.46,105.13,contact,true
game,23,38.06,109.48,location,true
social_contact,21,38.86,109.8,location,false
message,14,38.12,109.46,contact,false
game,19,38.45,106.7,phone,true
message,12,36.04,109.18,location,false
game,24,38.96,109.22,microphone,true
game,20,38.24,107.58,phone,true
navigation,20,39.19,106.68,location,true
game,12,36.96,105.54,contact,true
social_contact,24,36.32,107.43,microphone,false
social_contact,13,37.69,109.5,contact,false
social_contact,13,38.45,106.43,phone,false
message,22,36.95,108.21,phone,false
social_contact,15,39.68,107.91,phone,false
social_contact,17,39.59,109.75,phone,false
navigation,21,38.14,109.58,phone,true
social_contact,17,39.71,105.49,phone,false
navigation,19,36.77,108.14,phone,true
social_contact,13,37.78,109.89,contact,false
navigation,19,39.39,106.96,microphone,true
navigation,13,38.83,107.66,location,true
game,14,39.28,107.35,microphone,true
social_contact,21,39.59,105.96,contact,false
navigation,19,36.42,109.69,contact,true
message,19,39.79,105.19,phone,false
social_contact,22,36.55,109.31,contact,false
social_contact,16,38.56,109.47,contact,false
message,22,37.46,107.19,microphone,false
message,13,39.57,105.37,location,false
social_contact,12,36.37,108.0,microphone,false
social_contact,24,37.87,108.47,contact,false
social_contact,22,36.93,107.12,contact,false
game,21,37.71,106.05,location,true
navigation,23,36.98,106.94,location,true
game,20,39.32,109.93,location,true
game,13,38.69,108.47,microphone,true
message,18,36.57,105.76,contact,false
message,21,37.91,108.4,location,false
game,17,36.23,107.61,contact,true
social_contact,14,38.44,108.42,contact,false
social_contact,13,37.15,109.0,location,false
message,14,37.23,105.75,phone,false
social_contact,17,39.08,106.59,phone,false
social_contact,17,36.22,107.79,microphone,false
social_contact,19,38.23,106.8,microphone,false
navigation,17,38.61,109.08,location,true
navigation,16,37.87,106.78,phone,true
social_contact,18,39.48,107.5,location,false
message,18,38.04,109.32,contact,false
message,22,39.1,108.47,microphone,false
social_contact,21,38.72,106.13,phone,false
message,14,38.12,108.25,location,false
message,22,39.95,109.02,phone,false
game,22,37.44,106.51,contact,true
game,20,37.01,105.58,contact,true
social_contact,21,37.22,107.04,phone,false
message,23,37.66,107.45,location,false
message,16,37.21,109.75,phone,false
message,20,36.88,108.75,location,false
message,14,36.37,105.28,location,false
message,18,39.01,107.36,location,false
social_contact,20,37.15,106.9,microphone,false
social_contact,15,38.95,108.48,contact,false
message,14,39.82,109.95,location,false
social_contact,14,39.03,108.26,location,false
social_contact,20,39.42,109.25,contact,false
social_contact,21,37.67,108.99,location,false
game,16,38.03,105.06,microphone,true
social_contact,15,37.43,108.68,location,false
game,15,38.87,105.63,microphone,true
message,12,39.47,107.56,contact,false
navigation,21,39.77,108.2,microphone,true
navigation,17,38.2,108.46,location,true
game,12,37.87,106.61,location,true
navigation,15,36.8,107.67,contact,true
game,19,39.23,108.03,location,true
social_contact,21,36.69,108.59,microphone,false
message,15,38.73,107.48,microphone,false
message,19,36.89,106.88,contact,false
game,17,37.93,105.32,contact,true
social_contact,17,38.21,109.8,microphone,false
message,18,37.77,109.63,phone,false
message,19,37.15,109.06,location,false
message,17,38.55,105.14,contact,false
navigation,21,36.3,107.74,microphone,true
navigation,16,36.86,107.01,contact,true
message,22,39.5,109.46,phone,false
game,14,37.83,106.7,phone,true
social_contact,20,37.08,107.86,contact,false
social_contact,22,36.88,109.88,phone,false
message,17,38.41,109.63,location,false
message,12,39.73,108.73,contact,false
game,16,39.55,105.49,phone,true
social_contact,20,36.33,106.94,microphone,false
social_contact,14,37.18,107.78,phone,false
game,13,39.55,109.1,phone,true
message,12,38.94,107.56,contact,false
message,19,38.25,106.95,microphone,false
social_contact,17,39.37,106.11,phone,false
message,17,37.14,107.93,contact,false
social_contact,19,39.32,108.76,location,false
navigation,18,39.29,109.08,contact,true
message,18,37.72,105.18,microphone,false
game,19,39.5,109.26,phone,true
social_contact,23,37.6,105.91,contact,false
social_contact,22,37.04,106.31,contact,false
message,19,37.46,105.34,microphone,false
navigation,13,36.83,107.18,microphone,true
social_contact,14,37.17,108.42,contact,false
social_contact,20,39.95,106.42,location,false
social_contact,21,36.54,105.88,microphone,false
navigation,18,38.6,106.44,phone,true
social_contact,15,39.98,108.0,contact,false
message,19,39.94,109.06,phone,false
game,21,39.04,107.93,contact,true
message,18,39.63,108.51,location,false
navigation,13,39.4,105.58,location,true
message,17,37.57,107.49,microphone,false
navigation,18,38.86,107.0,microphone,true
social_contact,19,38.58,106.79,microphone,false
navigation,16,38.43,106.74,microphone,true
message,13,37.96,109.79,phone,false
message,16,39.1,109.36,location,false
social_contact,21,38.37,105.37,microphone,false
message,12,39.89,106.95,location,false
message,21,38.71,105.28,contact,false
navigation,15,36.08,107.66,microphone,true
navigation,20,37.26,109.83,phone,true
navigation,13,39.17,106.9,location,true
social_contact,13,37.36,107.47,contact,false
navigation,19,37.19,105.47,microphone,true
message,15,36.36,109.11,microphone,false
navigation,19,38.07,108.7,location,true
message,22,39.36,107.55,phone,false
navigation,12,38.78,105.57,phone,true
message,14,39.79,107.03,location,false
game,17,39.08,107.99,microphone,true
message,20,36.15,108.58,phone,false
message,17,39.61,106.19,microphone,false
game,20,37.84,105.16,location,true
message,21,39.17,109.7,contact,false
game,22,36.87,107.07,microphone,true
game,21,39.62,105.62,phone,true
social_contact,21,39.28,105.47,location,false
game,21,39.07,107.99,contact,true
social_contact,15,39.3,105.66,phone,false
navigation,21,38.65,109.21,contact,true
game,13,37.6,105.96,contact,true
navigation,19,36.81,107.65,microphone,true
game,22,39.46,109.65,contact,true
message,13,39.02,107.19,location,false
game,16,39.25,106.4,microphone,true
navigation,22,39.4,107.91,phone,true
game,17,37.19,106.54,location,true
game,13,37.66,106.91,location,true
game,23,37.94,107.41,microphone,true
social_contact,24,38.12,105.89,phone,false
navigation,16,36.54,107.1,contact,true
message,23,39.34,105.84,microphone,false
social_contact,24,39.01,108.82,phone,false
game,19,38.36,107.43,location,true
navigation,14,36.24,107.76,microphone,true
game,21,37.14,109.87,location,true
navigation,15,37.67,106.46,contact,true
game,16,39.95,105.91,contact,true
social_contact,18,36.51,105.56,microphone,false
message,14,36.63,105.91,contact,false
game,18,37.14,108.93,phone,true
navigation,13,37.58,109.82,phone,true
game,13,38.58,107.21,phone,true
message,19,37.65,106.0,location,false
message,17,37.82,106.74,location,false
navigation,20,36.37,105.49,location,true
game,13,39.56,107.23,microphone,true
social_contact,20,36.06,109.59,location,false
message,19,37.8,106.93,contact,false
game,23,38.53,106.13,microphone,true
game,16,39.72,108.92,microphone,true
message,14,38.14,107.06,phone,false
message,24,38.12,108.84,microphone,false
message,14,39.42,107.68,location,false
navigation,21,36.86,105.74,contact,true
game,17,38.2,106.48,phone,true
social_contact,20,37.86,106.71,location,false
navigation,16,37.2,108.35,phone,true
game,20,37.97,106.84,microphone,true
navigation,20,37.02,108.57,location,true
game,21,37.63,108.6,microphone,true
navigation,19,39.72,105.85,contact,true
social_contact,14,36.44,105.19,phone,false
message,23,36.72,106.23,location,false
social_contact,17,36.75,107.59,location,false
message,14,39.33,105.23,contact,false
message,21,39.02,105.39,contact,false
navigation,13,37.79,107.27,location,true
navigation,19,38.5,106.15,location,true
social_contact,18,39.55,106.06,location,false
navigation,19,37.15,106.47,microphone,true
message,18,36.19,107.7,phone,false
navigation,13,39.8,108.14,phone,true
game,20,36.63,105.29,location,true
navigation,15,36.53,109.4,location,true
game,15,38.87,106.35,location,true
game,19,37.9,108.01,phone,true
social_contact,14,39.3,106.75,phone,false
navigation,22,39.56,109.62,microphone,true
message,18,36.45,107.69,contact,false
navigation,18,39.41,109.03,contact,true
game,18,39.96,107.81,phone,true
navigation,21,37.7,105.93,phone,true
game,15,38.81,106.02,phone,true
message,12,38.49,106.57,microphone,false
navigation,24,39.93,108.23,microphone,true
social_contact,15,37.73,106.03,phone,false
social_contact,23,37.28,108.37,contact,false
game,23,38.36,109.29,microphone,true
message,12,37.19,108.12,location,false
message,14,38.34,109.8,phone,false
message,18,39.21,105.87,location,false
message,23,36.78,105.96,phone,false
social_contact,15,38.7,105.21,phone,false
game,15,37.83,108.03,contact,true
message,19,38.81,108.61,contact,false
game,19,38.36,105.36,microphone,true
game,18,39.01,106.82,contact,true
game,14,36.79,107.36,location,true
navigation,16,38.86,106.82,contact,true
social_contact,19,37.0,109.76,phone,false
game,12,39.15,106.92,location,true
game,15,38.39,107.57,microphone,true
navigation,13,37.96,107.53,phone,true
social_contact,22,37.76,109.34,phone,false
message,20,36.29,109.96,location,false
social_contact,17,39.96,108.91,microphone,false
game,22,36.16,105.5,phone,true
message,21,39.72,107.59,location,false
navigation,18,37.76,105.28,phone,true
game,19,39.59,107.22,microphone,true
message,13,37.38,107.18,location,false
social_contact,22,37.36,109.52,microphone,false
social_contact,18,37.15,105.03,location,false
message,12,36.38,105.04,location,false
game,19,38.63,109.12,phone,true
game,19,39.27,106.9,contact,true
game,23,36.15,108.2,contact,true
message,15,38.93,108.14,phone,false
game,15,36.28,108.02,contact,true
message,20,37.45,106.11,microphone,false
game,16,39.83,106.35,microphone,true
navigation,17,39.02,109.87,contact,true
navigation,17,38.4,106.03,microphone,true
message,20,37.79,105.03,contact,false
message,12,37.27,108.74,microphone,false
game,19,37.54,109.1,phone,true
social_contact,17,39.13,108.2,phone,false
message,12,38.13,107.89,phone,false
social_contact,19,39.31,105.25,contact,false
message,17,39.84,106.27,location,false
social_contact,17,39.96,106.35,contact,false
navigation,14,38.76,106.44,contact,true
message,17,38.7,105.69,phone,false
message,18,37.21,106.36,phone,false
message,16,39.82,105.63,location,false
game,19,38.29,107.16,phone,true
social_contact,23,38.21,105.22,location,false
message,13,38.9,108.71,phone,false
game,23,38.05,107.95,phone,true
game,22,36.77,105.46,location,true
game,21,39.3,109.17,microphone,true
game,23,37.28,107.95,contact,true
social_contact,17,36.7,109.38,microphone,false
message,14,38.94,105.93,location,false
message,23,39.94,107.87,location,false
navigation,21,36.27,109.4,microphone,true
message,21,37.38,105.22,phone,false
navigation,19,38.63,109.66,microphone,true
message,14,37.08,108.18,microphone,false
social_contact,21,38.66,109.72,phone,false
message,15,38.4,106.44,contact,false
message,22,38.54,109.25,location,false
navigation,21,39.99,106.44,phone,true
game,21,38.5,107.3,contact,true
message,12,37.3,107.51,phone,false
social_contact,13,39.87,106.96,phone,false
message,19,39.21,106.36,microphone,false
social_contact,15,37.52,108.38,phone,false
message,19,36.79,107.95,location,false
message,13,38.07,109.77,phone,false
social_contact,21,36.98,108.8,microphone,false
navigation,18,38.42,105.22,microphone,true
message,21,38.9,106.95,contact,false
message,17,39.44,108.19,location,false
navigation,20,39.66,109.11,microphone,true
social_contact,16,36.49,106.79,microphone,false
social_contact,22,39.52,107.14,microphone,false
message,15,36.87,105.56,phone,false
message,17,36.86,105.38,microphone,false
game,18,36.18,109.8,contact,true
social_contact,15,37.48,108.53,location,false
navigation,22,37.2,105.16,microphone,true
game,12,36.65,108.8,phone,true
navigation,18,37.89,106.46,location,true
message,19,39.9,106.01,microphone,false
message,18,39.83,106.33,phone,false
navigation,22,36.78,107.46,location,true
social_contact,14,38.9,105.88,location,false
navigation,23,37.25,107.51,contact,true
game,21,38.7,108.33,contact,true
game,20,38.61,107.43,phone,true
message,21,36.79,108.25,phone,false
social_contact,24,38.18,105.08,location,false
message,14,39.57,108.31,microphone,false
navigation,18,38.96,109.85,contact,true
game,17,38.91,108.58,microphone,true
social_contact,16,39.69,107.58,phone,false
game,17,37.91,107.01,microphone,true
navigation,19,38.67,106.88,microphone,true
message,16,36.92,109.84,microphone,false
navigation,12,36.81,105.73,contact,true
message,16,37.54,108.75,microphone,false
game,14,38.71,105.81,phone,true
navigation,14,39.33,105.15,location,true
social_contact,16,36.96,106.72,location,false
game,22,36.97,109.76,phone,true
navigation,21,38.86,108.78,contact,true
game,20,39.42,109.32,microphone,true
navigation,18,37.98,108.33,location,true
game,23,37.62,106.41,contact,true
navigation,13,37.86,105.28,contact,true
navigation,16,38.81,106.5,contact,true
message,14,36.31,109.72,contact,false
navigation,15,37.41,105.21,contact,true
navigation,18,36.41,108.97,microphone,true
game,16,37.32,108.91,location,true
game,15,39.92,105.81,location,true
message,22,37.57,105.96,phone,false
social_contact,16,37.39,109.36,phone,false
game,18,39.06,107.83,phone,true
game,21,39.01,105.68,contact,true
social_contact,13,36.58,105.6,phone,false
message,24,39.91,109.16,contact,false
navigation,15,39.08,106.34,contact,true
navigation,18,38.58,105.72,location,true
navigation,16,38.45,107.63,phone,true
game,23,36.46,105.43,location,true
game,18,38.1,106.53,microphone,true
game,23,37.77,107.21,contact,true
navigation,15,39.66,108.84,location,true
social_contact,12,39.33,105.08,microphone,false
game,13,36.78,109.19,microphone,true
social_contact,21,39.78,109.33,location,false
social_contact,18,38.33,105.18,location,false
game,21,36.15,107.09,location,true
message,18,36.24,109.37,phone,false
navigation,14,39.19,105.56,microphone,true
message,14,37.42,109.45,contact,false
message,19,37.63,109.25,phone,false
navigation,18,39.45,108.58,phone,true
game,21,39.49,109.07,phone,true
message,22,38.23,109.69,contact,false
game,20,37.57,109.71,microphone,true
social_contact,14,39.87,106.34,location,false
navigation,24,37.93,105.73,microphone,true
navigation,23,39.23,109.84,contact,true
social_contact,23,36.72,108.67,phone,false
message,21,38.86,105.49,location,false
game,16,38.56,109.26,location,true
game,19,36.84,109.42,microphone,true
game,16,36.94,105.41,contact,true
social_contact,17,39.84,106.19,contact,false
game,15,36.29,106.88,microphone,true
social_contact,21,38.9,106.64,contact,false
message,16,38.8,106.97,location,false
message,14,39.43,108.85,phone,false
message,22,36.55,109.0,location,false
navigation,12,39.44,107.85,contact,true
social_contact,22,36.61,105.0,phone,false
message,22,39.01,106.83,contact,false
message,21,38.93,107.07,contact,false
social_contact,22,36.05,107.46,location,false
game,22,36.36,108.73,contact,true
navigation,24,36.67,108.72,phone,true
navigation,16,36.4,105.04,phone,true
navigation,22,36.36,109.78,contact,true
navigation,17,36.96,109.84,phone,true
message,17,39.02,105.47,location,false
navigation,20,36.07,106.95,location,true
message,21,39.75,106.19,location,false
message,20,36.88,106.55,microphone,false
navigation,24,39.05,109.52,phone,true
social_contact,20,37.12,105.09,microphone,false
message,19,36.1,107.05,microphone,false
message,18,36.3,105.19,microphone,false
navigation,14,39.38,106.35,phone,true
game,20,36.43,107.56,phone,true
game,12,36.04,109.94,phone,true
navigation,21,36.81,109.79,microphone,true
game,13,38.36,107.57,phone,true
navigation,20,36.93,109.87,location,true
message,19,37.87,105.02,contact,false
message,13,39.87,108.87,contact,false
message,23,36.05,109.07,location,false
social_contact,15,39.31,109.57,contact,false
game,18,38.78,108.88,contact,true
game,24,37.99,108.38,contact,true
game,15,36.76,109.92,location,true
game,14,38.43,107.38,location,true
social_contact,20,39.79,108.27,microphone,false
navigation,19,39.4,109.65,microphone,true
message,20,38.47,106.42,microphone,false
navigation,18,39.01,109.58,contact,true
game,22,37.44,108.29,phone,true
navigation,15,36.42,109.43,contact,true
message,15,38.42,106.75,contact,false
navigation,14,37.65,108.08,contact,true
navigation,22,37.54,105.07,microphone,true
social_contact,16,37.77,105.82,phone,false
navigation,12,39.6,107.86,phone,true
navigation,12,39.73,105.43,phone,true
game,14,37.2,107.55,location,true
message,16,39.99,105.58,location,false
message,22,36.66,106.74,phone,false
social_contact,20,37.33,105.14,contact,false
navigation,12,38.42,108.4,phone,true
game,21,39.63,106.57,location,true
navigation,22,38.74,108.0,contact,true
game,13,39.97,107.85,microphone,true
message,19,39.84,107.14,contact,false
game,22,38.47,107.68,microphone,true
social_contact,12,39.96,106.47,microphone,false
game,21,38.44,106.67,contact,true
message,15,36.58,109.47,phone,false
social_contact,17,36.32,106.63,location,false
message,18,38.7,105.56,microphone,false
social_contact,17,36.48,105.37,location,false
navigation,20,38.39,105.94,microphone,true
message,23,39.76,105.08,location,false
navigation,16,36.2,106.02,contact,true
game,21,38.54,105.87,location,true
navigation,22,38.23,109.55,contact,true
game,15,37.18,106.05,phone,true
game,22,36.7,106.49,phone,true
social_contact,22,36.26,105.31,phone,false
